City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,atar,20.5169,-13.0499,26.13,20,98,3.41,Atar,1684893773
78,esperance,-33.8667,121.9,15.97,76,100,10.44,Esperance,1684893773
79,rauma,61.1272,21.5113,10.02,61,94,3.9,Rauma,1684893774
80,hilo,19.7297,-155.09,27.19,78,34,1.79,Hilo,1684893774
81,pout,14.7739,-17.0603,23.99,83,0,5.14,Pout,1684893774
82,yumen,40.2833,97.2,16.19,17,17,9.05,Yumen,1684893775
83,armidale,-30.5167,151.65,17.83,17,7,3.14,Armidale,1684893775
84,boguchany,58.3814,97.4531,4.65,74,100,6.03,Boguchany,1684893775
85,nome,64.5011,-165.4064,7.28,79,100,4.98,Nome,1684893775
86,severo-kurilsk,50.6789,156.125,3.54,90,92,4.38,Severo-Kuril'sk,1684893776
87,yar-sale,66.8333,70.8333,5.55,57,15,3.79,Yar-Sale,1684893776
88,tiksi,71.6872,128.8694,-3.38,81,16,1.75,Tiksi,1684893776
89,voskresensk,55.3125,38.6636,15.32,95,98,2.04,Voskresensk,1684893777
90,sulangan,11.1373,123.7228,29.16,72,37,3.47,Sulangan,1684893777
91,aksu,41.1231,80.2644,20.92,36,100,0.83,Aksu,1684893777
92,hithadhoo,-0.6,73.0833,28.09,73,6,2.39,Hithadhoo,1684893777
93,mendi,-6.1761,143.6513,17.05,89,100,1.69,Mendi,1684893778
94,arraial do cabo,-22.9661,-42.0278,22.52,82,12,7.29,Arraial do Cabo,1684893778
95,aklavik,68.2191,-135.0107,10.83,53,100,4.81,Aklavik,1684893778
96,ilulissat,69.2167,-51.1,-3.99,80,100,5.14,Ilulissat,1684893773
97,bredasdorp,-34.5322,20.0403,11.66,91,100,1.55,Bredasdorp,1684893779
98,harwich,51.9419,1.2844,11.11,81,100,0.45,Harwich,1684893779
99,torbay,47.6666,-52.7314,2.54,95,75,5.81,Torbay,1684893780
100,pochutla,15.7432,-96.4661,28.79,71,14,2.42,Pochutla,1684893782
101,dargaville,-35.9333,173.8833,17.04,74,21,6.19,Dargaville,1684893782
102,hualmay,-11.0964,-77.6139,21.14,82,68,4.13,Hualmay,1684893783
103,beloha,-25.1667,45.05,14.89,75,1,1.9,Beloha,1684893783
104,bluff,-46.6,168.3333,10.71,63,65,6.96,Bluff,1684893783
105,moron,-34.6534,-58.6198,21.09,92,100,2.23,Morón,1684893613
106,barrow,71.2906,-156.7887,-0.99,80,100,6.17,Barrow,1684893692
107,longyearbyen,78.2186,15.6401,1.91,75,75,0.51,Longyearbyen,1684893680
108,salekhard,66.53,66.6019,9.47,44,70,3.36,Salekhard,1684893784
109,clyde river,70.4692,-68.5914,-2.87,86,100,2.57,Clyde River,1684893784
110,puerto ayora,-0.7393,-90.3518,25.86,91,100,0.45,Puerto Ayora,1684893785
111,avera,33.194,-82.5271,19.1,65,86,2.89,Avera,1684893785
112,rio gallegos,-51.6226,-69.2181,1.03,93,0,5.66,Río Gallegos,1684893569
113,saldanha,-33.0117,17.9442,8.03,83,100,3.28,Saldanha,1684893785
114,havre-saint-pierre,50.2334,-63.5986,6.2,61,0,3.6,Havre-St-Pierre,1684893786
115,lufilufi,-13.8745,-171.5986,28.88,81,74,5.15,Lufilufi,1684893786
116,lavrentiya,65.5833,-171.0,1.65,97,95,2.09,Lavrentiya,1684893786
117,ipubi,-7.6519,-40.1489,20.18,93,48,2.23,Ipubi,1684893787
118,castro,-24.7911,-50.0119,12.5,83,0,1.31,Castro,1684893787
119,san joaquin,37.9333,-121.3011,24.6,47,0,6.17,San Joaquin,1684893787
120,tuktoyaktuk,69.4541,-133.0374,0.0,93,75,2.06,Tuktoyaktuk,1684893787
121,saint-philippe,-21.3585,55.7679,21.77,82,99,1.76,Saint-Philippe,1684893788
122,shablykino,52.8566,35.1964,10.96,98,41,1.65,Shablykino,1684893788
123,margate,51.3813,1.3862,9.83,82,100,0.46,Margate,1684893788
124,provideniya,64.3833,-173.3,5.2,75,100,3.13,Provideniya,1684893789
125,port-gentil,-0.7193,8.7815,26.24,86,84,3.69,Port-Gentil,1684893789
126,waingapu,-9.6567,120.2641,27.99,64,40,4.13,Waingapu,1684893789
127,manakara,-22.1333,48.0167,19.83,87,99,2.03,Manakara,1684893790
128,samoded,63.6083,40.5111,13.43,93,100,2.86,Samoded,1684893790
129,lebu,-37.6167,-73.65,12.67,75,68,10.26,Lebu,1684893790
130,san patricio,28.017,-97.5169,27.14,73,22,4.44,San Patricio,1684893790
131,la plata,-34.9215,-57.9545,20.58,92,100,3.93,La Plata,1684893601
132,murray bridge,-35.1167,139.2667,18.96,43,82,6.45,Murray Bridge,1684893791
133,chokurdakh,70.6333,147.9167,0.17,100,100,5.09,Chokurdakh,1684893791
134,nizhniy kuranakh,58.8353,125.4869,11.12,38,87,2.71,Nizhniy Kuranakh,1684893791
135,puerto varas,-41.3195,-72.9854,11.12,66,100,13.89,Puerto Varas,1684893615
136,chuy,-33.6971,-53.4616,18.37,85,86,3.41,Chui,1684893792
137,waihi beach,-37.4,175.9333,20.06,65,0,2.24,Waihi Beach,1684893792
138,nueva guinea,11.6876,-84.4562,24.52,83,87,3.88,Nueva Guinea,1684893792
139,sokolskoye,57.1412,43.1589,13.76,76,100,3.8,Sokol'skoye,1684893793
140,pasni,25.2631,63.471,29.22,83,86,6.37,Pasni,1684893793
141,kieta,-6.2167,155.6333,28.09,78,98,6.43,Kieta,1684893638
142,terra nova,-12.3667,-40.6667,19.7,90,100,0.94,Terra Nova,1684893794
143,sobradinho,-12.8333,-39.1,21.54,92,98,2.86,Sobradinho,1684893634
144,necochea,-38.5473,-58.7368,16.38,89,100,3.53,Necochea,1684893610
145,carnarvon,-24.8667,113.6333,21.75,58,100,2.06,Carnarvon,1684893794
146,hami,42.8,93.45,20.05,17,0,0.62,Kumul,1684893795
147,port elizabeth,-33.918,25.5701,11.84,74,0,2.57,Port Elizabeth,1684893795
148,hasaki,35.7333,140.8333,21.27,45,0,5.71,Hasaki,1684893795
149,emba,48.8264,58.1442,17.79,46,5,5.24,Emba,1684893795
150,bilibino,68.0546,166.4372,10.72,42,94,1.98,Bilibino,1684893706
151,biak,-0.9131,122.8766,28.4,66,53,3.68,Biak,1684893796
152,karratha,-20.7377,116.8463,23.85,24,1,3.64,Karratha,1684893796
153,bayan,46.0833,127.4,24.8,26,82,9.51,Bayan,1684893797
154,maragogi,-9.0122,-35.2225,25.58,84,29,4.85,Maragogi,1684893797
155,lasa,46.6166,10.7002,12.42,91,84,0.48,Laas,1684893797
156,pueblo nuevo,23.3833,-105.3833,15.93,60,87,1.16,Pueblo Nuevo,1684893797
157,guilin,25.2819,110.2864,18.06,79,98,0.53,Guilin,1684893798
158,napoleon,41.3923,-84.1252,21.24,64,47,2.34,Napoleon,1684893800
159,taoudenni,22.6783,-3.9836,27.99,16,86,4.33,Taoudenni,1684893801
160,adeje,28.1227,-16.726,18.51,78,40,2.06,Adeje,1684893801
161,luanda,-8.8368,13.2343,26.0,83,75,3.6,Luanda,1684893801
162,warrnambool,-38.3833,142.4833,15.78,62,6,8.37,Warrnambool,1684893802
163,miami,25.7743,-80.1937,28.01,85,100,5.14,Miami,1684893523
164,wexford,52.3342,-6.4575,11.05,98,41,3.58,Wexford,1684893802
165,chiredzi,-21.05,31.6667,14.38,95,36,0.53,Chiredzi,1684893802
166,esmeraldas,-19.7625,-44.3139,17.58,85,0,2.2,Esmeraldas,1684893803
167,rafaela,-31.2503,-61.4867,22.78,66,100,1.34,Rafaela,1684893618
168,aripuana,-9.1667,-60.6333,26.19,73,100,0.5,Aripuanã,1684893803
169,balaka,-14.9793,34.9558,15.91,93,0,0.73,Balaka,1684893803
170,leshukonskoye,64.8989,45.7622,14.74,78,32,2.34,Leshukonskoye,1684893804
171,nizhniy odes,63.6445,54.856,12.96,78,65,1.52,Nizhniy Odes,1684893804
172,sumbe,-11.2061,13.8437,23.32,89,66,3.01,Sumbe,1684893809
173,airai,-8.9266,125.4092,21.1,66,92,1.54,Airai,1684893810
174,chapais,49.7834,-74.8492,7.88,92,100,5.72,Chapais,1684893811
175,zhigansk,66.7697,123.3711,4.52,53,100,3.16,Zhigansk,1684893811
176,guerrero negro,27.9769,-114.0611,16.72,75,0,7.23,Guerrero Negro,1684893811
177,mulchen,-37.7167,-72.2333,9.1,90,9,3.5,Mulchén,1684893811
178,igarka,67.4667,86.5833,1.55,72,87,9.35,Igarka,1684893812
179,port lincoln,-34.7333,135.8667,17.62,49,100,9.06,Port Lincoln,1684893812
180,arman,59.7,150.1667,6.12,98,100,0.39,Arman',1684893812
181,manicore,-5.8092,-61.3003,23.41,98,71,0.98,Manicoré,1684893813
182,kysyl-syr,63.8986,122.7617,11.03,30,71,3.77,Kysyl-Syr,1684893813
183,komsomolskiy,40.4272,71.7189,25.4,27,6,5.14,Yangi Marg`ilon,1684893813
184,husavik,66.0449,-17.3389,3.92,80,42,17.84,Husavik,1684893814
185,nuuk,64.1835,-51.7216,0.34,69,100,9.77,Nuuk,1684893631
186,dingle,10.9995,122.6711,30.37,69,76,2.08,Dingle,1684893816
187,qui nhon,13.7667,109.2333,31.23,60,19,0.57,Qui Nhon,1684893817
188,tabou,4.423,-7.3528,26.95,84,63,2.31,Tabou,1684893817
189,dayong,25.0209,118.2898,21.95,70,98,1.57,Dayong,1684893817
190,fairbanks,64.8378,-147.7164,21.45,31,0,1.54,Fairbanks,1684893600
